"icao","name","city","country","lat","lon","elev_ft","size","continent","runway_ft","paved"
"KBWG","Bowling Green Warren County Regional Airport","Bowling Green","US","36.964500427199994","-86.41970062259999","547","medium_airport","NA","6501","1"
"KBWI","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","US","39.1754","-76.668297","146","large_airport","NA","10503","1"
"KBWP","Harry Stern Airport","Wahpeton","US","46.2440986633","-96.6073989868","968","small_airport","NA","5100","1"
"KBXA","George R Carr Memorial Air Field","Bogalusa","US","30.813699722299997","-89.8649978638","119","small_airport","NA","5002","1"
"KBXG","Burke County Airport","Waynesboro","US","33.04130172729492","-82.00270080566406","302","small_airport","NA","5003","1"
"KBXK","Buckeye Municipal Airport","Buckeye","US","33.422397","-112.686317","1033","small_airport","NA","5500","1"
"KBXM","Brunswick Executive Airport","Brunswick","US","43.89220047","-69.93859863","72","medium_airport","NA","8000","1"
"KBYG","Johnson County Airport","Buffalo","US","44.3811","-106.722","4968","small_airport","NA","6143","1"
"KBYH","Arkansas International Airport","Blytheville","US","35.9642982483","-89.94400024410001","254","medium_airport","NA","11602","1"
"KBYI","Burley Municipal Airport","Burley","US","42.542598724399994","-113.772003174","4150","medium_airport","NA","4092","1"
"KBYS","Bicycle Lake Army Air Field","Fort Irwin/Barstow","US","35.2804985046","-116.629997253","2350","medium_airport","NA","9631","0"
"KBYY","Bay City Regional Airport","Bay City","US","28.973301","-95.863503","45","small_airport","NA","5107","1"
"KBZN","Bozeman Yellowstone International Airport","Bozeman","US","45.778853","-111.153711","4473","medium_airport","NA","8994","1"
"KC02","Grand Geneva Resort Airport","Lake Geneva","US","42.614899","-88.389603","835","small_airport","NA","4100","1"
"KC03","Nappanee Municipal Airport","Nappanee","US","41.446201","-85.934799","860","small_airport","NA","3675","1"
"KC04","Oceana County Airport","Hart/Shelby","US","43.641701","-86.329201","910","small_airport","NA","3500","1"
"KC08","Silver West Airport","Westcliffe","US","38.013182","-105.374279","8290","small_airport","NA","6954","1"
"KC09","Morris Municipal Airport James R. Washburn field","Morris","US","41.4254","-88.418701","584","small_airport","NA","5501","1"
"KC15","Pekin Municipal Airport","Pekin","US","40.488201","-89.675903","530","small_airport","NA","5000","1"
"KC16","Frasca Field","Urbana","US","40.1464","-88.198502","735","small_airport","NA","4001","1"
"KC17","Marion Airport","Marion","US","42.031101","-91.529297","862","small_airport","NA","3776","0"
"KC20","Andrews University Airpark","Berrien Springs","US","41.951698","-86.367699","668","small_airport","NA","4148","1"
"KC24","Mineral County Memorial Airport","Creede","US","37.822017","-106.930289","8680","small_airport","NA","6880","1"
